Yesilkoy;32.7271;36.5618;1801.0
Gokbelen;33.2209;36.3385;2682.0
Nernek;35.0833;36.9833;90359.0
Bozhoyuk;30.0092;36.7589;5339.0
Gevlegiz;33.1403;36.4579;2682.0
Mahmutaga;34.9694;36.9362;90025.0
ZekiAyan;34.6099;36.8175;84090.0
Cemre;29.6604;36.5224;3129.0
SamayilYaylasi;33.5667;37.4667;2682.0
Altinyaka;30.3483;36.5586;3129.0
Arifkoy;30.0494;36.5169;3129.0
Gunesli;33.1515;36.3415;2682.0
Hasdumen;31.001;37.2377;3129.0
AvniTolunay;30.6272;36.9044;106489.0
Yalniz;30.1167;36.4667;3129.0
Catak;33.7606;36.667;2682.0
Ortakoy;33.2729;36.2619;2682.0
Dag;30.5042;37.1931;3012.0
Ayiveliler;29.8418;36.3152;3129.0
Piromerli;34.6856;37.0348;2533.0
Kayaonu;32.9851;36.6285;1788.0
Egilmez;33.1752;37.5299;2682.0
Katranli;32.7482;36.7457;1788.0
Mavikent;30.35;36.3167;18156.0
Sarilar;34.3096;36.9018;2562.0
Tirtar;33.6431;36.8884;2585.0
AsagiMahalle;32.8782;36.5472;1819.0
Dutluca;31.8059;37.0394;18513.0
Cataloluk;32.7881;36.1445;4292.0
Akcamasat;33.0704;36.3255;2682.0
Kocapinar;29.9612;36.7176;14797.0
Evciler;32.9037;36.1588;6465.0
Yenikas;33.2849;36.1335;1488.0
Gunes;30.7348;36.9183;111843.0
Pinarkaya;33.7173;37.1144;1788.0
Bugus;31.0289;37.0388;3129.0
Guneykent;34.6309;36.8399;93724.0
Zirlankaya;31.0231;37.0213;3129.0
Nurikoy;33.5913;36.4196;2682.0
Doguyaka;30.7426;36.9019;103789.0
Guzeloluk;34.0827;36.7944;2679.0
Sulek;31.5575;36.7539;24076.0
Boluceagac;29.5865;36.2912;3129.0
AsagiAkin;33.0211;36.8931;1788.0
Mentesbey;31.6504;37.0268;3129.0
Zeytinada;32.4702;36.1411;1966.0
Gedikbasi;29.7563;36.4283;3129.0
SehitMustafa;34.8903;36.9153;101693.0
Irmakli;33.415;36.5712;6850.0
Gokcesaray;32.5538;36.2588;3129.0
Sapandere;34.8167;36.85;90853.0
Duruhan;33.2965;36.2417;2682.0
Ergenekon;34.8525;36.9295;100539.0
Kazimkarabekir;32.9589;37.2303;3563.0
Degirmenli;31.5533;36.8581;3464.0
Ibradi;31.5992;37.0969;8883.0
Yildiz;30.6855;36.8939;82532.0
CamiSerif;34.6309;36.8025;61739.0
Ortakoy;32.122;36.7866;3129.0
Pasakoy;32.0019;36.6252;7338.0
Daran;32.6801;36.5631;1801.0
Camlica;32.29;36.4295;3129.0
Solakkoy;30.9;36.9667;53667.0
Ballibucak;31.1092;37.2969;3129.0
Taskesigi;31.6325;36.7585;7675.0
Asagiihti;33.7167;36.6;2682.0
Cercili;34.1725;36.764;2682.0
Bucakkoy;31.2064;37.0281;3129.0
Ucoluk;30.4165;36.7158;3129.0
Pinarbasi;29.6698;36.2394;3125.0
CukurBanaz;32.8837;36.3024;2682.0
Sucati;33.3697;36.6059;7752.0
Mucuk;33.3768;36.5864;5940.0
Sigardic;32.9288;36.3171;2682.0
Balkaya;32.0872;36.7532;3129.0
Manavgat;31.4431;36.7867;89307.0
Habibler;30.732;36.9522;115371.0
Celebiciftligi;34.9833;36.9833;103068.0
KozlarYaylasi;33.5219;36.7478;2682.0
Hebilli;34.6615;36.9172;46120.0
BeskuyuYaylasi;32.75;36.4333;2383.0
Varlik;30.6855;36.8907;73691.0
Sebil;34.5624;37.1291;2533.0
Emirsah;32.7896;36.0828;11766.0
Sariagac;32.8548;36.2161;2682.0
Anamur;32.8369;36.0751;57128.0
Gulveren;30.6376;36.9029;103118.0
AsagiGuneykaya;31.7103;36.9016;3129.0
Gokcetas;33.176;36.8805;2031.0
Tepetaspinar;34.6653;37.0099;2533.0
Sucular;34.8195;36.9606;64287.0
Gaziler;31.1844;37.2561;3129.0
SogutYaylasi;33.1571;36.2765;2682.0
Bogazakent;31.1594;36.8528;5000.0
Obaalacami;32.112;36.603;6275.0
Bozyer;30.2333;36.4333;6188.0
Gebece;31.648;36.8366;3129.0
Cakis;31.1852;36.922;14420.0
Gencler;31.7103;36.7829;3129.0
Sarisu;33.1838;36.1384;1571.0
Yesilvadi;31.0939;37.2074;3129.0
ElliYil;34.5707;36.7966;79734.0
Cevizler;31.5488;36.7612;25259.0
Ulukapi;31.5;36.8167;21448.0
Aladag;34.9607;37.0817;18066.0
KavakyaniYaylasi;34.2167;36.9;2565.0
Yesilkoy;30.8014;36.8956;107221.0
YeniEmek;30.6993;36.9263;109254.0
Saykoy;34.7878;36.9405;69002.0
Bayirkoy;32.9067;36.9274;1788.0
Arslanli;34.1843;36.6777;2682.0
Araplar;31.084;36.9616;12505.0
Yenikoy;29.5975;36.2251;2681.0
Araca;32.7027;36.178;2682.0
Turkler;31.8151;36.6013;7240.0
Ortabelen;32.6706;36.0844;2356.0
Karacaoglan;33.7311;36.6687;2682.0
Nebiler;30.9394;37.0267;3219.0
Dorumlar;30.8688;37.1545;3129.0
Guzelyayla;34.4916;37.0528;2533.0
Selcuklar;34.627;36.8208;79116.0
Akpinar;33.8682;37.1668;1788.0
Beykonak;30.303;36.3257;30339.0
Inonu;33.7667;37.3167;5552.0
Kumlucayazan;30.4189;36.3858;3129.0
Cavusir;33.9167;36.3167;68265.0
GullerPinari;32.011;36.5469;17973.0
Ayranci;33.6883;37.3613;2148.0
Sagirin;31.2314;37.0112;3129.0
Masata;31.5169;37.185;3129.0
Cukurkesli;34.504;36.8985;4685.0
Cagman;29.9381;36.3844;3129.0
Nurindiciftligi;33.1;36.5833;1957.0
Turbekoy;32.9;36.7833;1790.0
Golkoy;30.2411;36.5869;3129.0
Muzkent;32.3961;36.1853;4990.0
Resadiye;34.8972;36.9213;103005.0
Eminciler;31.0565;36.8923;24623.0
Cavuskoy;32.9524;36.5631;1800.0
Goktepe;32.6228;36.6269;1838.0
Mesudtiye;34.6276;36.8039;61739.0
Hocakoy;31.6554;36.9083;3129.0
Gocekler;33.575;36.5533;2682.0
Sinci;32.9092;37.3709;2186.0
Yesilevler;34.9022;36.8964;86655.0
Harfilli;34.0585;36.7897;2681.0
Seyhkoy;30.1833;36.5167;3129.0
Halitaga;34.9456;36.8902;57666.0
Mentes;34.5705;36.7896;72267.0
Asagikocayatak;30.958;36.9099;25619.0
Menderes;30.7763;36.9421;114661.0
YusufKilic;34.6029;36.8184;86782.0
Gokcepinar;31.0696;37.0611;3129.0
Basmakci;30.9563;37.279;3129.0
Burunucu;33.9238;36.3466;94407.0
YukariGozne;34.5667;37.0;2533.0
Boyali;33.183;37.0563;1788.0
Esentepe;32.6955;36.6144;1788.0
Cukurbag;33.6001;36.6933;2682.0
Fener;30.7523;36.856;49797.0
Gunduzler;33.7248;36.5174;2682.0
Yanisli;33.4956;36.1646;1766.0
Degirmendere;32.0597;36.6016;12495.0
Oymapinar;31.5157;36.8775;3453.0
Sogucak;34.5472;36.9706;2533.0
Yarmasu;33.0907;36.377;2682.0
Catalca;35.0126;36.8087;2925.0
Sulek;31.4833;36.8333;22030.0
Kilicli;29.7699;36.1943;2956.0
Guldere;33.4722;37.0242;2006.0
HusnuKarakas;30.7273;36.9376;115091.0
Aliefendioglu;34.9101;36.8832;67078.0
Bayirkozaagaci;31.9816;36.7077;3129.0
Tirnak;33.4333;36.285;2682.0
Camizlar;29.3317;36.4182;2967.0
Alacami;31.0445;36.9964;3537.0
Topalli;30.8097;37.0349;17795.0
Sira;33.15;36.55;2159.0
Guzelyurt;33.2064;36.8313;2456.0
Duatepe;34.8894;36.9094;101693.0
Bozkaya;32.6986;36.7337;1788.0
Gedikpinar;33.877;36.4897;2682.0
Doyran;30.55;36.9;59840.0
Tirtar;34.2351;36.5397;41049.0
Kaslioglu;32.25;36.45;3757.0
Dereli;30.6539;37.1348;3129.0
Egripinar;33.6524;36.2185;2461.0
Takbas;34.8359;36.9455;87183.0
Bayat;30.3177;37.0558;3129.0
Bozlar;31.2;37.2;3129.0
Yuvacik;29.5605;36.4322;3129.0
Musali;34.6117;36.9591;4725.0
Etler;31.0596;37.1429;3129.0
Guzelsu;31.8564;36.8947;3129.0
KislacikMahallesi;32.8122;36.67;1788.0
EskiOmerli;34.8937;36.9258;102483.0
Ilicakoy;31.3672;36.8219;25624.0
Cukurova;34.5919;36.8399;101164.0
Yalnizcabag;33.1595;36.6492;2497.0
Bayatbademlesi;30.4689;37.0708;3129.0
Dinek;33.2498;37.3863;2031.0
Burhan;34.7333;36.9;66366.0
Salmanlar;32.3782;36.1859;5909.0
Belen;31.274;36.9225;3675.0
Atalar;34.85;36.85;76345.0
Haciceliller;30.8;37.15;3129.0
Inkoy;34.7176;37.2406;2533.0
Egelkoyu;30.5189;36.5058;13662.0
Kazanci;32.8613;36.5019;1877.0
Suluca;31.45;37.2;3129.0
Cirbiklar;34.9621;37.0603;31831.0
Kizelen;34.0814;36.7074;2682.0
Yegenli;33.9985;36.5997;2682.0
Boldag;30.1395;36.2884;16262.0
Gokcukur;33.2142;36.1638;2285.0
Belbasi;30.1358;36.435;4446.0
Boyalik;32.7322;36.6062;1788.0
Bayandir;30.6719;36.9008;92230.0
Hocali;31.6108;36.8144;3129.0
Doglu;34.425;36.7468;47619.0
Selcuk;30.7026;36.8858;74363.0
Cayici;30.2333;36.4667;3129.0
Mamuras;35.0833;36.85;4633.0
Garipce;30.3483;37.2953;2542.0
Narli;33.6385;36.6555;2682.0
Sahmurlu;34.0136;36.6456;2682.0
Bekiralani;34.5275;36.9828;2533.0
Evciler;32.8513;36.3552;2682.0
Hocaseki;32.3512;36.435;3129.0
Bagcagiz;33.5343;36.692;4213.0
Erenler;33.9167;36.3833;93904.0
Yavu;29.8344;36.2487;3120.0
Malaklar;32.8429;36.1308;11619.0
Anit;34.8769;36.9159;102426.0
Horozlu;34.4602;37.0403;2533.0
Akgedik;34.9089;36.9581;97136.0
Dorak;34.6524;37.0242;2533.0
Gedik;31.0849;36.9155;25939.0
Gokcekent;32.8581;36.5366;1828.0
Yesilyurt;30.1112;36.3488;20976.0
Tekeli;33.1315;36.1369;1909.0
Calkaya;30.8592;36.9064;90199.0
Altinkum;34.0607;36.3478;33833.0
Agzidelik;34.9782;36.7998;3102.0
Begissusuzu;30.2389;36.9747;3129.0
Tehnel;32.7022;36.0934;2677.0
Imircik;29.7833;36.7333;3129.0
Mithatpasa;34.8718;36.9145;103101.0
Karadayi;31.1078;36.8731;21942.0
Burmanci;31.0667;36.95;13584.0
Mersin;34.6128;36.8004;537842.0
Agilli;29.682;36.2143;3027.0
Dosemealti;30.6025;37.0233;48578.0
Siteler;34.6406;36.8156;68349.0
Bozkandak;32.8429;37.1171;1788.0
Gumusyaka;29.9771;36.8555;3129.0
Buyukkumluca;30.9094;36.8769;30513.0
Baglica;32.35;36.4833;3129.0
Devedami;33.6833;36.2;2201.0
Buyukalan;30.3;36.7;3129.0
Dirgenler;29.7944;36.3581;3129.0
Tilkiler;31.4838;36.9252;3129.0
Ispatli;32.1746;36.4405;12202.0
Bahceyaka;29.9768;36.9635;3129.0
Aydincik;32.3066;36.3035;19614.0
Basharman;33.3491;37.0918;1788.0
Demirciler;31.0595;37.2264;3129.0
Mirahor;33.3944;36.6123;16509.0
Evrenseki;31.3558;36.8411;22958.0
Pinarbasi;33.0537;37.1018;1788.0
Yariktas;33.85;36.35;50447.0
Yenikoy;34.4979;36.9762;2533.0
Sirinyali;30.7358;36.8627;53286.0
Gokce;33.2899;37.065;1788.0
Coglu;33.3039;37.4288;2462.0
Burcaklar;31.8951;36.678;4009.0
Saburlar;31.756;36.7087;3391.0
Seydiler;31.5371;36.7684;26949.0
Ahirtas;30.7359;37.2175;2667.0
Kayadibi;30.7922;37.2068;2959.0
Urunlu;31.6133;37.0383;3129.0
Yaprakli;29.7956;36.8292;3129.0
Koprubasi;33.1723;36.7973;2512.0
Alanyali;34.5124;37.0905;2533.0
Canakci;34.1607;36.5451;22992.0
Guneybahsis;32.8492;36.1914;2702.0
Ihsaniye;30.8538;36.9814;76576.0
Tekkekoy;29.87;36.6172;3129.0
Lale;32.5832;36.2075;3074.0
Catalharman;33.5706;36.6378;2682.0
Kuslar;31.0821;36.9896;6288.0
Derekoy;32.0456;36.6508;3137.0
Gavuructugu;34.1667;36.9167;2548.0
Cukur;33.9333;36.4833;4849.0
Ahmediye;31.1587;36.8608;14798.0
Araplar;32.8167;36.1167;11748.0
Masat;32.7185;36.196;2682.0
Yaylapazari;32.9459;36.4927;2004.0
Gecimli;33.3284;36.7912;2681.0
Ballica;35.0216;36.901;34456.0
Arpacsakarlar;34.6308;36.8599;99987.0
Girman;34.448;36.7633;47588.0
Cankaya;34.6284;36.7974;52729.0
Hacimehmetli;31.9681;36.5675;16471.0
Aliefendi;32.1888;36.4415;11176.0
Camili;30.6704;37.1837;3028.0
Ortakoy;30.2838;36.4482;8093.0
Muratpasa;30.7059;36.8976;450000.0
Sugozu;32.7684;36.3118;2682.0
Cavdarli;34.7902;37.0388;2560.0
Yesilbag;31.2411;37.4067;3188.0
Hocali;33.6069;36.4833;2682.0
Akkilise;29.8825;36.3355;3129.0
Begis;30.1006;36.9044;3129.0
Yavrudogan;31.311;36.8791;12193.0
Kaleucagiz;29.8486;36.1972;275.0
Yenisehir;34.5667;36.8;84848.0
Yanikkisla;34.8892;37.1431;3204.0
Meselik;34.7833;37.0667;2533.0
Cavuspinari;33.1477;37.1298;9976.0
Bozagac;33.385;36.2849;2682.0
Adanalioglu;34.805;36.8375;80220.0
Gozubuyuk;31.863;36.6992;3137.0
Karadere;32.7856;36.0701;11726.0
Sirakoy;34.8497;37.0422;2533.0
Cukurelma;30.0082;36.8277;3129.0
Berem;32.5843;36.4714;2750.0
Esentepe;30.6825;36.9486;113677.0
Ahatli;29.7364;36.6164;3129.0
Araplar;30.6667;36.9833;94471.0
BahabeyYaylasi;33.6333;36.2833;2682.0
Esenler;35.0263;36.9597;87488.0
Duzagac;31.258;37.2356;3129.0
Tahilpazari;30.7046;36.8923;83588.0
Yuvatepe;33.1275;37.2872;1788.0
Yesilkoy;29.376;36.2842;2768.0
Yenidamlar;32.178;36.4236;10019.0
Gungoren;32.6324;36.2287;2918.0
Diliklitas;34.6667;36.8833;91322.0
Ugurlu;32.6716;36.6407;1788.0
CayirYaylasi;33.086;36.4027;2682.0
Turktas;31.9969;36.6625;3137.0
Halac;30.126;36.3406;26874.0
Barutkavuran;33.3674;37.1927;11338.0
Taskuyu;34.7842;36.9513;52819.0
Ovabasi;32.7731;36.1209;5430.0
AltinovaYenigol;30.7768;36.9055;113158.0
Muren;30.05;36.8;3129.0
Erentepe;30.3616;36.4164;9539.0
Tepealan;32.2404;36.3924;5403.0
Sirtkoy;31.4439;36.9941;3129.0
Gecitkoy;29.801;36.7327;3129.0
Akpinar;32.5667;36.5333;2178.0
Yenikisla;30.2194;36.5075;3129.0
Sariyar;34.4044;36.716;69689.0
Yesildere;33.5145;37.1567;1788.0
Demircili;33.9497;36.4279;47152.0
Bahcekoyagi;33.0875;36.2102;2682.0
Cavak;34.5443;36.8408;69013.0
Uzunkas;34.4494;36.8671;2610.0
Okurcalar;31.7067;36.6487;4312.0
Haciilyasli;33.3307;36.6767;2682.0
Adala;30.0;36.4167;3129.0
Baskoy;32.358;36.4576;3129.0
Gundere;33.1167;37.15;8298.0
Baskoy;32.6833;36.75;1788.0
Catak;32.967;37.0125;1788.0
Enisdibi;33.3562;36.2021;2665.0
Iskan;33.1319;36.5238;2426.0
Incekum;31.7344;36.6431;10865.0
Yesilbarak;29.6775;36.5864;3129.0
Cesme;33.2377;36.6764;2682.0
Bozon;34.4964;36.8026;46828.0
Sinan;30.7121;36.8859;75841.0
Hacikerimler;31.9547;36.6461;4651.0
Resulkoy;34.593;36.8804;74477.0
Avdan;35.0982;37.0359;57458.0
Hasyurt;30.2228;36.3242;23125.0
Evdilek;33.9729;36.8747;2610.0
Bodime;32.6555;36.1724;2705.0
Elmapinar;33.4259;36.8934;2573.0
Ilica;33.1885;36.6768;2682.0
Damlapinar;32.8639;37.0948;1788.0
PerendiYaylasi;33.4107;37.3517;1835.0
Hekimler;32.8351;36.3045;2682.0
Deniztepesi;31.1251;36.9808;8681.0
Santral;30.637;36.9334;115394.0
Caminur;34.8946;36.9137;99643.0
BuyukManay;29.9333;37.0667;3129.0
Merkez;34.1459;36.4752;31422.0
Usakpinari;33.6186;36.3178;2682.0
Uckonak;32.4853;36.2788;3129.0
Cenger;31.6234;36.6901;12562.0
Cavdir;30.1333;36.3833;17223.0
Yesilkoy;33.346;36.5152;2682.0
Dokuzyol;33.6213;37.3069;1788.0
Mollaomerli;33.4377;36.3208;2682.0
Demirciler;31.5095;36.7918;28309.0
Yesilyayla;30.2315;37.2527;2876.0
Bugdayli;33.7562;37.252;1788.0
Haciosmanlar;30.9473;37.1565;3129.0
Avsallar;31.7806;36.616;12829.0
Guneyyurt;32.807;36.6811;1788.0
BuyukKarapinar;32.6863;36.6855;1788.0
Cayyazi;31.4593;36.8059;34170.0
Ciplakli;30.6514;37.0469;24599.0
SeksenikiEvler;34.917;36.916;91487.0
Avsar;29.7499;36.5678;3129.0
Pinarli;30.8106;36.9392;115395.0
Akdam;33.117;36.1375;2008.0
YukariKelmen;31.0804;37.1077;3129.0
Besikci;30.345;36.3628;22260.0
Sutlegen;29.608;36.4436;3129.0
Eskisehir;34.9403;37.0382;48402.0
Tolkoy;34.3874;36.81;2673.0
Gurcam;32.4939;36.2115;3129.0
Akcami;32.9336;36.1515;8955.0
Avdan;30.1476;36.8751;3129.0
Hamankoy;33.3751;36.6418;14166.0
Langer;33.1539;36.2466;2682.0
Bogruegri;34.5996;37.0732;2533.0
Ferahimsalvuz;34.9318;36.928;99565.0
Cigdemli;33.1274;37.2315;8433.0
Gebizli;30.728;36.9003;97251.0
SogutozuYaylasi;33.5315;36.7894;2681.0
Belen;30.3874;36.3656;9524.0
Pamuklu;33.6455;36.6691;2682.0
Derekoy;29.6478;36.2674;3129.0
Ahirini;33.3657;36.2102;2682.0
Huseyinler;34.0571;36.5285;2682.0
Bahtili;30.5732;36.8868;86933.0
Ahmetler;31.6987;36.8271;3129.0
Halitagalar;31.6744;36.745;4005.0
Uluguney;31.7231;36.6775;10807.0
Derincay;33.3254;36.7235;2682.0
Guzle;30.3151;36.9006;3129.0
Akcaalan;30.203;36.4796;3129.0
Yassibag;33.347;36.3019;2682.0
Haciahmetli;33.5938;36.6647;2682.0
Baslar;31.4704;37.1361;3129.0
Yazir;29.9719;36.4756;3129.0
Dutlubahce;30.7018;36.9084;98628.0
Koyak;32.5909;36.1184;2488.0
Yukariirnabol;32.9333;36.4667;2193.0
CamalaniYaylasi;33.0;36.2833;2682.0
Ovacik;33.5558;36.1713;2107.0
Zumrutova;30.7441;36.8662;56411.0
Yaylaalan;31.4911;36.9433;3129.0
Tekke;34.9009;36.9169;100980.0
Kurucabel;33.05;36.9284;1788.0
Golcuk;30.351;36.6234;3129.0
Ucari;32.6229;36.091;1815.0
Ozluce;32.8438;36.5447;1818.0
Lale;33.301;36.9921;1862.0
Dursun;33.1045;36.1963;2682.0
Dogusandal;34.3934;36.7631;19197.0
Imecik;30.2236;36.8458;3129.0
Hal;34.6573;36.8264;80565.0
Topluca;33.4732;36.7121;9436.0
Akyar;30.1806;37.1608;3157.0
Alacami;32.2999;36.5921;3129.0
Zebekler;34.3417;36.876;2598.0
Haciali;31.5483;36.7724;25115.0
Akcapinar;30.9072;37.15;3129.0
Alacesme;31.7366;36.9685;3129.0
Narlikuyu;34.1129;36.4427;35295.0
Guneykaya;31.6936;36.9067;3129.0
Etiler;30.7135;36.901;92975.0
Agzikara;32.9508;36.1135;11758.0
Dilbeyan;33.15;37.2;24560.0
Hisarcandir;30.4456;36.7551;3129.0
Kilbasan;33.1863;37.3249;1788.0
Guney;32.6588;36.1916;2708.0
Gumuslu;30.1769;37.1819;3129.0
Sokun;34.0099;36.3358;42755.0
Cilbayir;33.6891;36.3721;2682.0
Gucus;34.2056;36.642;4846.0
Siteler;30.6348;36.8942;96402.0
Yavca;34.3758;37.0194;2533.0
YukariKarahanlar;31.2438;37.2208;3129.0
Bademli;33.1382;36.9337;1788.0
Cemilli;34.4506;36.8033;15756.0
SarikuyuYaylasi;32.621;36.5;2130.0
Dumlugoze;32.5571;36.5528;2080.0
Muratli;34.9892;37.0259;69581.0
Gunyaka;31.7484;37.1676;3129.0
Derebasi;33.0451;36.1404;7289.0
Merkez;34.5789;36.801;82545.0
Korucak;34.7154;37.1528;2533.0
Hocalar;32.2386;36.3963;5403.0
Dere;32.6602;36.2313;2776.0
Akbas;31.1453;37.059;3129.0
Mesudiye;33.0707;37.2538;1788.0
Meltem;30.6691;36.8866;75053.0
Demirhisar;34.6937;36.8833;89916.0
Ulas;34.7822;36.9971;17574.0
Agizbogaz;33.8393;37.4085;2682.0
Esenyurt;30.3434;37.0567;3129.0
Eminlik;34.9215;37.2487;4663.0
Bilelyeri;30.3275;36.9078;3129.0
Akcati;32.1395;36.5707;6474.0
Gokceharman;33.7355;36.2315;2218.0
Verimli;35.1139;36.8972;7511.0
Turuncova;30.1375;36.3689;8356.0
Komurler;32.9352;36.1677;5597.0
Kumoba;33.2667;37.4167;2368.0
Berendi;31.0234;36.994;3157.0
Balli;33.5969;36.8816;2598.0
Gocer;32.9106;37.0506;1788.0
Ugrar;29.7014;36.2906;3129.0
Cicekli;35.0864;36.8751;5007.0
Derekoy;30.2167;36.5;3129.0
Cankaya;30.6761;36.9399;113439.0
Yakakoy;30.3581;37.2403;3035.0
Osmaniye;34.6149;36.8128;76410.0
Yuksekoluk;34.409;36.9958;2533.0
Mihrican;34.3922;36.96;2533.0
Bucakkisla;31.7394;37.0459;9427.0
Saray;31.9876;36.5494;14976.0
Gazi;34.6054;36.7845;54635.0
Bogaz;33.6952;36.7298;2682.0
Cevreli;34.827;37.0439;2533.0
Cilek;34.6727;36.8339;84605.0
Yakacik;32.561;36.1093;370.0
Kelcekoy;33.4692;36.6595;26920.0
Pamucak;33.4446;36.2285;2682.0
Yazili;33.1043;37.1561;3506.0
Abdurrahmanlar;30.9386;36.99;20848.0
Kirobasi;33.8671;36.7224;2682.0
Sarilar;31.4321;36.8116;31547.0
Guneyyaka;31.9282;36.8563;3129.0
Kirahmehtler;32.4117;36.1846;3807.0
Hacinuhlu;33.4815;36.689;17280.0
Yesilyurt;33.4549;36.6896;20648.0
Yeniyuruk;33.3631;36.2444;2682.0
Cukurhayit;29.6972;36.3092;3129.0
Basirli;32.0677;36.5639;20432.0
Tomekli;34.343;36.747;11008.0
Sariveliler;33.4669;36.5301;2682.0
Gocuk;32.4732;36.1794;2963.0
Hamidiye;33.2417;37.3222;1788.0
Ataturk;30.6931;36.9231;104038.0
ElbalakYaylasi;32.6114;36.4188;3025.0
Inalkoy;32.5397;36.1342;2811.0
Sugozu;31.9901;36.5601;16906.0
Bogecik;33.8436;37.4543;2682.0
Emirasiklar;31.7387;37.0361;9427.0
Dudenbasi;30.7302;36.9147;104404.0
Yaylakonak;32.2511;36.5124;3129.0
Narlidere;33.25;36.8236;2669.0
YeniOmerli;34.8874;36.9188;103087.0
Alibeyli;34.845;37.1144;2533.0
Mahmutseydi;32.0288;36.6297;7338.0
Akdamlar;30.5187;36.8729;402.0
Karalgazi;33.052;37.2925;1788.0
Yaylakuzdere;30.4208;36.5736;300.0
Tepebasi;32.7221;36.6663;1788.0
BuyukKoras;33.7037;37.1219;1788.0
Camlipinar;32.6603;36.1859;2708.0
Sinan;33.902;36.5562;2682.0
Umutlu;32.0082;36.7788;3129.0
Seyidili;33.9905;36.6384;2682.0
Cavuskoy;30.4314;36.3319;3302.0
Naragaci;32.0933;36.8015;3129.0
Akdeniz;34.6442;36.8228;74644.0
Simithacili;35.1087;36.8748;5556.0
Asagiirnabol;32.95;36.4667;2218.0
Yassidam;33.7833;36.2333;1627.0
Yakakoy;34.7542;36.8626;98624.0
Goynuk;30.5542;36.6721;6037.0
Degirmenlik;31.7789;37.2764;3048.0
Yeni;34.8761;36.9298;102482.0
Tersakan;33.0099;36.3586;2682.0
